"New York, NY - All Homes",,,,,,
Statistic,,,Median value per sq. ft. ($),,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year
New York,city,All Homes,$526,0.6%,1.2%,6.9%
10001,zipcode,All Homes,"$1,552",-0.4%,-2.0%,-3.6%
10002,zipcode,All Homes,"$1,423",-0.6%,-0.8%,-1.7%
10003,zipcode,All Homes,"$1,732",-0.5%,-1.0%,-0.9%
10004,zipcode,All Homes,"$1,336",0.4%,-0.7%,-1.5%
10005,zipcode,All Homes,"$1,287",-0.5%,-1.3%,-1.1%
10006,zipcode,All Homes,"$1,342",0.1%,-0.7%,-1.5%
10007,zipcode,All Homes,"$1,759",-0.5%,-1.1%,0.0%
10009,zipcode,All Homes,"$1,445",-0.1%,-0.1%,3.2%
10010,zipcode,All Homes,"$1,711",-0.5%,-1.7%,-2.3%
10011,zipcode,All Homes,"$1,716",0.1%,-0.1%,0.8%
10012,zipcode,All Homes,"$1,794",-0.4%,-0.7%,3.3%
10013,zipcode,All Homes,"$1,763",-0.3%,-1.0%,-1.7%
10014,zipcode,All Homes,"$1,877",-0.2%,-0.6%,-0.2%
10016,zipcode,All Homes,"$1,315",-0.4%,-1.1%,-0.8%
10017,zipcode,All Homes,"$1,349",-0.2%,-1.1%,-0.8%
10018,zipcode,All Homes,---,---,---,---
10019,zipcode,All Homes,"$1,536",-0.3%,-0.9%,-1.6%
10021,zipcode,All Homes,"$1,437",-0.8%,-2.1%,-3.9%
10022,zipcode,All Homes,"$1,387",-0.3%,-1.4%,-1.3%
10023,zipcode,All Homes,"$1,599",-0.6%,-2.4%,-6.2%
10024,zipcode,All Homes,"$1,498",-0.3%,-1.1%,3.5%
10025,zipcode,All Homes,"$1,328",-0.4%,-1.3%,-0.9%
10026,zipcode,All Homes,"$1,042",0.3%,0.0%,-2.3%
10027,zipcode,All Homes,$953,0.2%,-0.8%,2.0%
10028,zipcode,All Homes,"$1,389",-0.4%,-0.8%,0.3%
10029,zipcode,All Homes,$975,-0.1%,-0.7%,0.9%
10030,zipcode,All Homes,$776,0.4%,-0.1%,5.3%
10031,zipcode,All Homes,$783,0.4%,1.4%,4.0%
10032,zipcode,All Homes,$737,0.5%,0.7%,4.2%
10033,zipcode,All Homes,---,---,---,---
10034,zipcode,All Homes,---,---,---,---
10035,zipcode,All Homes,$904,-0.1%,-0.1%,6.7%
10036,zipcode,All Homes,"$1,445",-0.3%,-2.0%,-6.4%
10037,zipcode,All Homes,---,---,---,---
10038,zipcode,All Homes,"$1,233",-0.4%,-1.8%,-1.6%
10039,zipcode,All Homes,---,---,---,---
10040,zipcode,All Homes,---,---,---,---
10044,zipcode,All Homes,"$1,220",-0.4%,-1.3%,-7.2%
10065,zipcode,All Homes,"$1,493",-0.6%,-2.2%,-3.1%
10069,zipcode,All Homes,"$1,551",-0.6%,-2.6%,-8.9%
10075,zipcode,All Homes,"$1,359",-0.1%,-1.7%,-3.8%
10128,zipcode,All Homes,"$1,260",-0.1%,-0.4%,-0.2%
10280,zipcode,All Homes,"$1,240",-0.3%,-1.5%,1.2%
10282,zipcode,All Homes,---,---,---,---
10301,zipcode,All Homes,$369,0.8%,2.2%,7.9%
10302,zipcode,All Homes,$334,0.9%,2.8%,11.0%
10303,zipcode,All Homes,$299,1.4%,3.5%,11.6%
10304,zipcode,All Homes,$381,0.8%,2.7%,9.2%
10305,zipcode,All Homes,$416,1.0%,3.0%,12.4%
10306,zipcode,All Homes,$401,0.8%,2.6%,10.2%
10307,zipcode,All Homes,$373,1.1%,2.2%,8.7%
10308,zipcode,All Homes,$384,0.5%,1.1%,7.3%
10309,zipcode,All Homes,$355,0.9%,1.7%,6.9%
10310,zipcode,All Homes,$353,0.9%,1.7%,7.0%
10312,zipcode,All Homes,$355,0.6%,2.0%,8.9%
10314,zipcode,All Homes,$370,0.8%,2.2%,9.8%
10451,zipcode,All Homes,---,---,---,---
10456,zipcode,All Homes,$268,1.1%,4.3%,6.3%
10457,zipcode,All Homes,---,---,---,---
10458,zipcode,All Homes,---,---,---,---
10459,zipcode,All Homes,$278,0.0%,1.1%,17.3%
10461,zipcode,All Homes,$331,0.6%,1.8%,7.5%
10462,zipcode,All Homes,$228,1.8%,5.6%,21.9%
10463,zipcode,All Homes,$488,0.6%,1.5%,6.1%
10464,zipcode,All Homes,$395,0.8%,1.5%,5.1%
10465,zipcode,All Homes,$350,1.4%,2.6%,8.4%
10466,zipcode,All Homes,$317,0.6%,2.3%,8.6%
10467,zipcode,All Homes,$270,0.4%,2.3%,7.1%
10468,zipcode,All Homes,---,---,---,---
10469,zipcode,All Homes,$300,0.7%,3.1%,10.7%
10470,zipcode,All Homes,$279,0.4%,0.7%,6.1%
10471,zipcode,All Homes,$483,-0.2%,-0.8%,-8.2%
10473,zipcode,All Homes,$296,1.0%,2.8%,11.3%
11004,zipcode,All Homes,$540,0.4%,0.7%,4.7%
11101,zipcode,All Homes,"$1,179",-0.4%,-0.8%,2.1%
11102,zipcode,All Homes,$937,0.4%,1.6%,14.4%
11103,zipcode,All Homes,$780,1.0%,2.6%,6.8%
11104,zipcode,All Homes,$730,0.8%,1.2%,3.4%
11105,zipcode,All Homes,$703,-0.1%,0.0%,4.0%
11106,zipcode,All Homes,$930,0.1%,0.9%,7.1%
11109,zipcode,All Homes,---,---,---,---
11201,zipcode,All Homes,---,---,---,---
11203,zipcode,All Homes,$374,1.6%,3.9%,15.1%
11204,zipcode,All Homes,$608,0.3%,-0.2%,3.9%
11205,zipcode,All Homes,$740,0.7%,1.9%,10.3%
11206,zipcode,All Homes,---,---,---,---
11207,zipcode,All Homes,$375,0.5%,3.9%,8.4%
11208,zipcode,All Homes,$377,1.6%,5.0%,7.4%
11209,zipcode,All Homes,$692,0.3%,0.9%,1.0%
11210,zipcode,All Homes,$534,-0.2%,-0.2%,6.4%
11211,zipcode,All Homes,"$1,100",-0.5%,-1.0%,3.1%
11212,zipcode,All Homes,$383,1.3%,3.5%,15.7%
11213,zipcode,All Homes,$559,0.4%,2.0%,10.9%
11214,zipcode,All Homes,$599,0.3%,1.0%,5.3%
11215,zipcode,All Homes,"$1,136",-0.2%,-0.3%,0.9%
11216,zipcode,All Homes,$784,-0.3%,0.3%,5.7%
11217,zipcode,All Homes,---,---,---,---
11218,zipcode,All Homes,$767,1.1%,3.9%,9.1%
11219,zipcode,All Homes,$587,0.2%,0.9%,5.0%
11220,zipcode,All Homes,$703,0.0%,-0.3%,5.1%
11221,zipcode,All Homes,$634,1.0%,1.8%,7.8%
11222,zipcode,All Homes,"$1,133",-0.1%,-0.9%,2.0%
11223,zipcode,All Homes,$681,-0.3%,-0.7%,6.4%
