"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG"
"USW00014732","2016-01-01","13.42","0.00","0.0","0.0","42"
"USW00014732","2016-01-02","12.53","0.00","0.0","0.0","37"
"USW00014732","2016-01-03","12.08","0.00","0.0","0.0","40"
"USW00014732","2016-01-04","18.79","0.00","0.0","0.0","34"
"USW00014732","2016-01-05","10.74","0.00","0.0","0.0","20"
"USW00014732","2016-01-06","6.04","0.00","0.0","0.0","32"
"USW00014732","2016-01-07","3.58","0.00","0.0","0.0","39"
"USW00014732","2016-01-08","10.29","0.00","0.0","0.0","40"
"USW00014732","2016-01-09","11.63","0.00","0.0","0.0","44"
"USW00014732","2016-01-10","17.00","1.42","0.0","0.0","51"
"USW00014732","2016-01-11","17.00","0.00","0.0","0.0","38"
"USW00014732","2016-01-12","11.41","0.00","0.0","0.0","33"
"USW00014732","2016-01-13","19.01","0.00","0.0","0.0","29"
"USW00014732","2016-01-14","10.07","0.00","0.0","0.0","29"
"USW00014732","2016-01-15","6.04","0.01","0.0","0.0","40"
"USW00014732","2016-01-16","12.08","0.25","0.0","0.0","46"
"USW00014732","2016-01-17","10.29","0.05","0.6","0.0","39"
"USW00014732","2016-01-18","20.13","0.00","0.0","0.0","29"
"USW00014732","2016-01-19","21.25","0.00","0.0","0.0","23"
"USW00014732","2016-01-20","12.97","0.00","0.0","0.0","32"
"USW00014732","2016-01-21","14.54","0.00","0.0","0.0","33"
"USW00014732","2016-01-22","10.51","0.00","0.0","0.0","27"
"USW00014732","2016-01-23","24.16","2.40","27.9","7.1","28"
"USW00014732","2016-01-24","12.75","0.03","0.3","27.2","28"
"USW00014732","2016-01-25","4.70","0.00","0.0","20.1","34"
"USW00014732","2016-01-26","7.38","0.00","0.0","15.0","40"
"USW00014732","2016-01-27","11.63","0.01","0.0","9.1","44"
"USW00014732","2016-01-28","5.82","0.00","0.0","5.9","38"
"USW00014732","2016-01-29","12.75","0.00","0.0","3.9","40"
"USW00014732","2016-01-30","9.62","0.00","0.0","3.1","34"
"USW00014732","2016-01-31","7.16","0.00","0.0","2.0","42"
"USW00014732","2016-02-01","8.50","0.00","0.0","1.2","51"
"USW00014732","2016-02-02","4.70","0.00","0.0","0.0","45"
"USW00014732","2016-02-03","11.41","0.69","0.0","0.0","48"
"USW00014732","2016-02-04","10.29","0.01","0.0","0.0","54"
"USW00014732","2016-02-05","17.00","0.35","2.4","1.2","39"
"USW00014732","2016-02-06","8.72","0.00","0.0","1.2","36"
"USW00014732","2016-02-07","6.93","0.00","0.0","0.0","40"
"USW00014732","2016-02-08","14.32","0.06","1.0","0.0","37"
"USW00014732","2016-02-09","8.05","0.00","0.0","0.0","30"
"USW00014732","2016-02-10","11.86","0.01","0.0","0.0","35"
